Search,Search Count,Last Search Date
"ext:xlsx;docx;pq;ps1;md;pq;docx;cs  path:ww:client_BDG",5,132983951229756744
"ext:csv;js;xlsx;ps1;md;json;pbix;pq ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:js;log;json ext:pbix",10,132983950710921405
"dm:last10weeks me: path:sql",1,132983256680347399
"get-sql-keys",1,132983256199230177
"ext:pbix dm:last10minutes",1,132982512426975040
"ext:pbix dm:last10days",2,132982511549691186
"ext:pbix ",10,132982509829578575
"ext:pbix dm:last1years da:last14days path:util",1,132982509488615929
"ext:csv;js;xlsx;ps1;md;json;pbix;pq ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:js;log;json:xlsx;ps1",1,132982508868623584
"ext:csv;js;xlsx;ps1;md;json;pbix;pq ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:js;log;json ext:xlsx;ps1 dm:last30minutes",3,132982508767537412
"ext:csv;xlsx;ps1;md;json;pbix;pq   (path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )     ( no_venv: noAppData: !path:""bdg\github"" )  dm:last100days !ext:pbix ext:xlsx",5,132983951342166291
"ext:ps1 path:aws me:",2,132982508299215085
"ext:ps1 dm:thisweek path:type",3,132981589565684925
"ext:pbix path:query path:temp",1,132980887975162243
"ext:csv;xlsx;ps1;md;json;pbix;pq   (path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )     ( no_venv: noAppData: !path:""bdg\github"" )  dm:last100days !ext:pbix",2,132980694456344942
"ext:csv;xlsx;ps1;md;json;pbix;pq   (path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" )     ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:pbix",2,132980620450955564
"ext:csv;js;xlsx;ps1;md;json;pbix;pq path:bdg ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:pbix;json",1,132980521489240810
"ext:csv;js;xlsx;ps1;md;json;pbix;pq ( no_venv: noAppData: !path:""bdg\github"" )  dm:last10days !ext:pbix;json",3,132980520953413531
"ext:xlsx;docx;pq;ps1;md;pq;docx;cs  path:ww:client_BDG                                      path:ww:client_BDG",3,132980520580079314
"ext:pbix;json;pq;ps1;md !path:myFork !ext:json !path:ww:client_bdg ext:pbix path:template me: ",7,132980520361518621
"path:ww:roms da:last24hours",1,132980517300164320
"ext:dax me: dm:last8months ",4,132980517050154868
"ext:pbix ( ( dm:last3months me: ) | ( da:last3months ))",1,132980516003258365
"ext:pbix dm:last3months me:",6,132980515262529950
"ext:ps1 me: path:set",2,132980515233628264
"ext:pbix path:group me:",3,132980515176438172
"path:ww:""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App""             dm:last3minutes ext:log",8,132980483850869733
"dm:last3days path:adventure !path:nvidia !path",1,132980455028589280
"dm:last3days path:adventure",1,132980454755977643
"ext:zip dm:last5minutes",1,132980058262116342
"ext:ps1 dm:today me:",4,132978798304959504
"ext:dax me: dm:last8months",2,132978764194302126
"ext:pbix dm:last3weeks ",1,132977056880117419
"ext:pbix dm:last3weeks me:",1,132977056785475790
"path:""H:\datasource_staging_area\2022-05-20\2022-05-21\current\traces"" dm:last4minutes",1,132976611500939387
"path:ww:""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App""             dm:last20minutes ext:log",2,132976600951047595
"path:ww:""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App""             dm:last20minutes",1,132976575693366557
"path:ww:""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App             dm:last20minutes",1,132976575505506823
"path:power path:bi path:AnalysisServicesWorkspaces | (path:ww:""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App\AnalysisServicesWorkspaces )",1,132976570343711567
"path:power path:bi path:AnalysisServicesWorkspaces",3,132976570015649227
"ext:code-workspace !appdata: !myFork: path:ww:c",4,132976254344463681
"ext:ps1;log ext:ps1 dm:today me:",1,132976233022395554
"ext:ps1;log ",4,132976203563197065
"ext:ps1 me: dm:last30minutes",1,132976132310377849
"ext:pbix;json;pq;ps1;md me: path:template me: !path:myFork !ext:json",1,132975544744100775
"ext:pbix;json; me: path:template me: !path:myFork",2,132975543934454388
"ext:pbix;json; me:",1,132975461915082653
"ext:pbix; me:",2,132975461340289632
"ext:xlsx;pbix;docx;csv;js;xlsx;ps1;md;json;pbix;pq            dm:today !path:2022-fam-share me:",7,132975408503920469
"ext:pbix;xlsx; craz",1,132975366746557273
"ext:pbix me: ",1,132975365762099678
"dm:last90hours ext:csv;ps1;pbix;pq;log;ps1 ext:pbix;ps1;log me: ",1,132974785669965348
"dm:last90hours ext:csv;ps1;pbix;pq;log;ps1 ext:ps1;log me: ",1,132974658385417983
"dm:last5minutes ( path:power | path:trace | path:tracing ) !path:webview",4,132974614562967384
"dm:last5minutes ext:log",2,132974614536299708
"dm:last1minutes",2,132974613952642287
"dm:last5minutes (ext:log | path:power )",1,132974611595762927
"dm:last90hours ext:csv;ps1;pbix;pq;log ext:log me: path:fam",2,132974611061389449
"dm:last90hours ext:csv;ps1;pbix;pq;log ext:log me:",2,132974609208695501
"(ext:ps1 path:namespace) | (ext:log dm:today) me:",2,132974608834140771
"ext:ps1 dm:today",10,132974608677390459
"ext:ps1 me: dm:last2weeks path:report",3,132974607846094846
"ext:ps1 path:namespace",1,132974438261770868
"dm:last90hours ext:csv;ps1;pbix;pq",6,132974437732684520
"dm:last14days ext:csv",5,132973803535198623
"ext:xlsx;docx;pq;ps1;md;pq;docx;cs  path:ww:client_BDG                                      !path:ww:""client_BDG\github"" !path:ww:""client_BDG\self_copy2"" ",2,132973803122668198
"dm:last30hours ext:csv",1,132973763849745899
