Search,Search Count,Last Search Date
"dm:last28days ext:code-workspace ",11,133283930721988532
"dm:last7days path:""*bdg*"" ext:code-workspace;yml ( no_cache: )",1,133283927410616473
"dm:last7days ext:ps1;code-workspace;toml;yml ext:code-workspace ( no_cache: )",1,133283925487042136
"ext:ps1;toml;yml dm:last7days    ( no_cache: )",1,133283925110340333
"ext:png;gif;md dm:last7days    ( no_cache:)",1,133283924779310719
"ext:png;gif;md dm:last7days        ( path:ww:""%LOCALAPPDATA%\Packages"" )",1,133283905621381886
"ext:png;gif dm:last7days",1,133283899930716617
"dm:last28days path:generate",1,133283371108962517
"path:ww:""*Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe*"" file:""*sql*""",1,133283309938278215
"path:ww:""*Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe*""",1,133283307646457552
"dm:last2weeks ext:pbix;pbit;pq;md   !path:""*🍴*""",1,133283016301744256
"dm:last4days ext:pbix;pq;md",1,133282369900183138
"dm:last28days ext:code-workspace;pq",4,133282367797242106
"dm:last28days ext:code-workspace",1,133281394465785905
"dm:last28days ext:code-workspace ""*git*""",2,133281366393100447
"dm:last2days ext:code-workspace",1,133280729364751762
"dm:last5months git_repo:",3,133280729245480156
"folder:wfn:"".git""",1,133280725692672013
"dm:last3weeks folder:"".git""",1,133280724627874093
"dm:last3weeks path:.git",1,133280722838014203
"ext:code-workspace dm:last7days",7,133280694441358989
"ext:ps1;md path:*justin* *uni*",3,133280636211858554
"ext:ps1;md path:*gist*",2,133280636128895515
"ext:ps1 dm:last2minutes",1,133280583963896403
"ext:ps1;md path:script ",2,133280539810108984
"path:ww:""H:\data\2023"" path:""*script*"" path:""*grote*""",1,133280538733305381
"path:ww:""H:\data\2023"" path:""*script""",1,133280538454348023
"path:ww:""H:\data\2023"" path:grote",1,133280537958535146
"ext:code-workspace dm:last3days",6,133280226409290653
"ext:ps1 dm:last9months ( path:""*comple*"") content:""Register-ArgumentCompleter""   !( path:ww:""H:\data\2023\pwsh\PsModules\TypeWriter"" )",2,133276847531021267
"ext:yml;toml dm:last17days ( da:last3days )",2,133275568629522177
"ext:ps1 dm:last3months ( path:""*comple*"")   !( path:ww:""H:\data\2023\pwsh\PsModules\TypeWriter"" )",1,133275407320231859
"ext:ps1 dm:last3months ( path:""*comple*"")",1,133275392519281950
"ext:ps1 dm:last9months ( ( path:bdg | path:client ) ) content:""set-jcuser""",1,133275171532101695
"ext:yml dm:last7days",2,133275162752115484
"ext:xlsx path:""modern""",4,133275157633055957
"ext:xlsx dm:last40minutes",4,133272040945636090
"ext:xlsx ( path:""H:\data\client_bdg\2023.03.17-bdg"" | path:""H:\data\client_bdg"" )",3,133271734142322335
"dm:last2days ext:xlsx",1,133271698478662973
"ext:md dm:last3months       path:bdg",1,133271682991161949
"ext:code-workspace ( path:""H:\data\client_bdg\2023.03.17-bdg"" | path:""H:\data\client_bdg"" )",1,133271668691450435
"( path:""H:\data\client_bdg\2023.03.17-bdg"" ext:code-workspace",1,133271668262491080
"path:""H:\data\client_bdg\2023.03.17-bdg"" ext:code-workspace",1,133271668024640787
"ext:ps1 dm:yesterday",4,133271149616881075
"ext:ps1 path:""H:/data/2022/Pwsh/awsbdg.2023""",1,133270952932823108
"ext:ps1 dm:last3months path:""*email*"" content:""Send-SES2Email """,1,133270900586730708
"ext:code-workspace dm:last4months da:last3weeks",2,133270900119673878
"ext:code-workspace dm:last4months da:last24hours",2,133270811504154175
"ext:yml dm:last4months dm:last1days content:bdg",1,133270195955497726
"ext:code-workspace dm:last4months",1,133270183864571752
"ext:yml dm:last4months",3,133270183785503489
"ext:pbix group",2,133269950554430168
"ext:pbix base64",2,133269258285028592
"ext:code-workspace dm:last2weeks",8,133269257939291235
"ext:yml;toml dm:last5days",3,133269189027031183
"ext:md;ps1;yml;toml dm:last21hours",2,133269065257987736
"ext:md dm:last1hours",2,133269052570698078
"ext:code-workspace dm:last3weeks",3,133268240764834771
"ext:yml dm:last3weeks ""template.yml"" content:""green""",1,133268236647934880
"ext:yml dm:last3weeks ""template.yml""",1,133268179073204197
"ext:yml dm:last3weeks template",1,133268177920046219
"ext:yml template dm:last3weeks",6,133268174845217509
"ext:ps1 dm:last72hours path:""H:\data""",2,133268160815822490
"ext:png dm:last8days",1,133266121146534728
"ext:ps1 dm:last36hours",7,133266120849804570
"ext:ps1 dm:last36hours ",1,133266057441597113
"ext:ps1 gh",1,133265830267296271
"ext:ps1 dm:last24hours",1,133265825360407872
"dm:last9months        file:regex:\.ps""\.[^\.]+$""",1,133265817763137892
"ext:code-workspace dm:last6months da:last3weeks",1,133265814667068962
"ext:code-workspace !path:history  dm:last7months da:last3weeks",3,133265632048833629
"ext:yml dm:last3weeks content:""BDG green 2 0x4 [2023.04.09] entry to Core Paylocity to JumpCloud Integration """,1,133262332624326761
"ext:toml dm:last6months da:last2weeks content:PwshRuntimeTest",1,133262247289223096
"ext:gif path:splat",2,133262238247979838
"ext:gif path:debug  path:code",1,133261752137658733
"ext:gif path:debug  ( me: ) ",1,133261751785255540
"ext:code-workspace dm:last9months",11,133261751648188306
"dm:last30minutes path:storm",2,133260729684463677
"dm:last30minutes",1,133260729487310128
"ext:toml dm:last7weeks content:PwshRuntimeTest samconfig",1,133260700774193303
"ext:toml dm:last3weeks content:PwshRuntimeTest",1,133260699796546790
"wntd ext:png;gfi",1,133260640265575309
"dm:last2weeks ext:yml;toml samconfig",1,133259700702317461
"dm:last2weeks ext:yml;toml template ",1,133259700605543781
"dm:last2weeks ext:yml template ",1,133259683542163752
