Search,Search Count,Last Search Date
"ext:pbix",52,132737854726722383
"ext:ps1 dm:today",12,132735993179523267
"ext:ps1",11,132714387318327813
"ext:pbix dm:today",10,132693213805957651
"ext:ps1;pbix;md;pq;png dm:last3weeks me:",8,132748262323213783
"ext:pbix def: ignore_programdata:",8,132721355784196731
"ext:pbix;pq",7,132718265618259817
"ext:pbix dm:last3days",7,132716242928021087
"ext:ps1;md psreadline",6,132707567888798656
"ext:ps1 path",6,132697997965887900
"ext:csv",6,132694797199374739
"ext:pbix ",6,132693189904407028
"SamplePSReadLineProfile.ps1",6,132677603759172704
"ext:pbix dm:last3weeks",5,132747262660367456
"ext:ps1;pbix;md;pq;png dm:last3weeks me: ext:pbix;pq",5,132744865746647365
"ext:pq dm:last2years me: content:accumulate content:wrap",5,132734679581428557
"ext:pbix;ps1 dm:last7days",5,132730789531883584
"asana !downloads:",5,132718200652422660
"dm:today",5,132697973408409584
"ext:pbix image",5,132680816768384167
"downloads:",4,132745610458758152
"ext:ps1;pbix;md;pq dm:last72hours me: ",4,132743251961815892
"ext:pbix dm:last3months !github:",4,132742235445855187
"ext:ps1 dm:today !path:.ninmonkey",4,132731645498321433
"""C:\Users\cppmo_000\Documents\2020\powershell\MyModules_Github\ProjectsNotCopied\dev-sketch\"" ",4,132729235884831468
"""C:\Users\cppmo_000\Documents\2021\"" ext:png;jpg;gif (width:>300 | height:>300)",4,132728238253441500
"dm:last5minutes",4,132721729239874208
"( ext:pbix;pq;md;pq| )  me: asana",4,132721716425754779
"asana",4,132718115640945105
"ext:log",4,132691096351877573
"ext:ps1 dm:last3days content:commandtype",4,132684386344453571
"ext:ps1 dm:last3days",4,132683356041677590
"ext:pbix inline",4,132675511344797560
"""C:\Users\cppmo_000\Documents\2021\Screenshots Dump\"" ",4,132670724576947123
"ext:code-workspace",3,132742239456781352
"ext:ps1 dm:last72hours me: ",3,132740613737815026
"C:\Program",3,132736407260111273
"ext:gif dm:today",3,132730301463136693
"""C:\Users\cppmo_000\Documents\2021\dotfiles\icons\"" off",3,132730068008023972
"ext:ps1 ( find | fd | fdfind | dig | dive ) !github:",3,132724229056215569
"path:ww:C:\Temp\discord",3,132719603144916784
"asana ",3,132718667363439472
"       (gran | canyon|)  ext:png;jpg;jpeg ",3,132714356198466698
"( ext:ps1 ( env | venv ) me: )    | ( ext:ps1 dm:last3days)",3,132713975821147707
"dm:last3hours",3,132713644486038099
"( me: ) ext:ps1;md ( path:readline | content:readline)",3,132711806810767768
"ext:ps1;md me: path:wrap",3,132709353822758463
"battlefield 4 (!path:""Heroes of the Storm"")",3,132708475864289691
"ext:code-workspace ( path:2020 | path:2021 )",3,132703462346745484
"settings.json",3,132698955576080170
"ww:settings.json path: dm:last7days",3,132698244506965894
"ext:pbix;pq dm:today",3,132693248468165383
"ext:pbix dm:last2minutes",3,132693178284790942
"ext:png;ps1 dm:today",3,132688749213744013
"path:ww:G:\2020-github-downloads ext:json;md;pbix;png;pq;ps1",3,132685895792817710
"ext:ps1 property",3,132685278063536071
"ext:ps1 dm:yesterday | dm:today",3,132683654988761284
"ext:ps1 dm:yesterday | dm:today |(siabled dm:last3days)",3,132683301391516299
"ext:ps1 completer ",3,132682585831858312
"ext:ps1 prop custom",3,132681008210157464
"ext:xlsx",3,132679916968989159
"ext:png;xcf dm:last2days perf",3,132675585188428155
"""X:\2020-data-secondary\screen to gif""           ( |( file:power | file:fzf shell | wt | term |   increment||comple ) ) path:""x:\"" ( !ext:png  ) inc",3,132674907405496534
"path:ww:""C:\Users\cppmo_000\AppData\Roaming\Apple Computer""",2,132747262665502254
" dm:last4minutes ",2,132745896597343493
"(ext:log | ext:json | file:log | file:trace | file:bug | file:crash | file:diagnos | path:diagnos  )",2,132745667166093228
"dm:last3weeks me: ext:ps1;pbix;md;pq;png ",2,132745536363775069
" !",2,132745536172491607
