Search,Search Count,Last Search Date
"ext:csv;json;md;ps1;md;xlsx;xml path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG""                                 ",1,133101587782423460
"ext:csv;xlsx path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ex  dm:",5,133101554942543659
"ext:csv;xlsx path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ex  dm:last44hours",5,133101012208719207
"ext:csv;xlsx;ps1;ps1m path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ex  dm:last44hours",4,133100778748705036
"ext:csv;xlsx;ps1;ps1m  !ext:xlsx  path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self""  dm:last3dayshours",2,133100778548598445
"ext:csv;xlsx path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ex  dm:last24hours",1,133100526961688917
"ext:csv path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last24hours",1,133100526755517859
"ext:csv path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  ext:csv;xlsx;json",1,133100526419802302
"ext:csv path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  ext:csv;xlsx;json dm:last600minutes",2,133100526141038004
"path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  ext:csv;xlsx;json dm:last3minutes",1,133100063818641984
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last54hours ext:csv;xlsx",12,133100013748235574
"ext:ps1;md;png;gif;mp4       me:                         !path:ww:""C:\Users\cppmo_000\SkyDrive\2022\pwsh_buff""         path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2020\ninmonkeys.com ┐ main""",5,133100013575997792
"ext:ps1 me:                         !path:ww:""C:\Users\cppmo_000\SkyDrive\2022\pwsh_buff""         path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2020\ninmonkeys.com ┐ main""",1,133099104560507501
"ext:ps1 me: path:where                               !path:ww:""C:\Users\cppmo_000\SkyDrive\2022\pwsh_buff""",1,133099103187734295
"ext:ps1 me: ( path:long | path:string | path:text ) path:where                               !path:ww:""C:\Users\cppmo_000\SkyDrive\2022\pwsh_buff""",1,133099102991379612
"ext:ps1 me: ( path:long | path:string | path:text ) path:long",1,133099101795632680
"ext:ps1 dm:today me:",4,133099098972980793
"ext:pbix;pq dm:last12months me: ( path:import  | path:culture | path:local )",6,133098217220551642
"""C:\Users\cppmo_000\SkyDrive\Documents\2022\Power-BI"" ",1,133096657120639034
"ext:pbix dm:last12months me: ( path:import  | path:culture | path:local )",1,133095727411450592
"ext:pbix dm:last12months me: ( path:culture | path:local )",2,133095727245448646
"dm:last4hours  ext:json;xlsx path:bdg",2,133095376175753333
"dm:last4hours  ext:json path:bdg",1,133094771823358775
"dm:last4hours  ext:xlsx",2,133094707872284419
"dm:last4hours me: ext:pbix;pq",2,133093829453711565
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last4weeks ext:csv;xlsx path:static",4,133093829289641739
"(   path:ww:""h:\screen-record""   | path:ww:""X:\2020-data-secondary\screen to gif"" | path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2022\nin.com"" | path:ww:""C:\Users\cppmo_000\SkyDrive\Documents\2021\Ninmonkeys.com"" ) ",2,133093829189421737
"(   path:ww:""h:\screen-record""   | path:ww:""X:\2020-data-secondary\screen to gif"" )",1,133093799148402021
"screen  (   path:ww:""h:\screen-record""    )",1,133093798131581006
"( ""X:\2020-data-secondary\screen to gif"" ) !ext:png          ( |( code|vs|file| fzf | shell | wt | term | completer|cli|command|line ) )",3,133093796848271463
"dm:last1months ext:mp4 !path:ww:""camera Roll"" ",2,133093796742193222
"ext:mp4 me:",1,133093795469013087
"ex",1,133093207369057843
"path:ww:c:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self_aws3 makefile da:last2days",1,133093062421109926
"path:ww:c:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self_aws3 makefile dm:last2days",1,133093062287210999
"path:ww:c:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self_aws3 ext:yml",1,133093053911416163
"path:wwC:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG\self_aws3",1,133093053722609995
"ext:ps1;md me: where",1,133092944154862394
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last4weeks ext:csv;xlsx export",1,133092769026000050
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last2weeks ext:csv;xlsx",4,133092758576270471
"ext:ps1 dm:me ",1,133092002094113881
"me: ext:dax",1,133089565862896823
"""c:\"" ext:json dm:last5minutes",1,133087943737715390
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last24hours ext:csv;xlsx",9,133087112598906069
"dm:last20minutes ( ""%appdata%"" | %localappdata% )  ( path:steam | path:valve )",1,133086247377441284
"( ""%appdata%"" | %localappdata% )  ( path:steam | path:valve )",1,133086244668906274
"path:DemoPowerShellFunction dm:last1weeks ext:toml;tml;yml;yaml;json content:""bdg-3-demo-runtime-DemoPowerShellFunction""",1,133086138940640179
"path:DemoPowerShellFunction dm:last1weeks",2,133086072556077138
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:csv;xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks  dm:last48hours ext:csv",2,133085155644369993
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks   ext:ps1;xlsx dm:last48hours ext:xlsx",2,133084168435564402
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks   ext:ps1",5,133084168431104268
"ext:pbix path:mapping",1,133082854551397101
"( path:""C:\Users\cppmo_000\SkyDrive\Documents\2021"" | path:""C:\Users\cppmo_000\SkyDrive\Documents\2022"" )  ext:ps1;xlsx;pbix;pq ext:pbix",1,133082794629127614
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks",11,133082793747472097
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx;yaml;sh;zip  dm:last2hours",2,133082726214865346
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2021"" ext:pbix;pq;md ( path:replace | path:map )",2,133082721804192405
"ext:ps1 dm:last1years me: !path:bdg !path:ww:""documents\powershell\modules\"" path:execution",1,133082669716156677
"ext:ps1 dm:last1years me: !path:bdg !path:ww:""documents\powershell\modules\"" path:native",1,133082668595029058
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022"" ext:pbix;pq;md ( path:replace | path:map )",1,133082573555988117
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  ext:xlsx dm:last2weeks",1,133082512519391054
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx;yaml;sh  dm:last2hours",1,133082456789334413
"ext:pbix dm:last5hours",1,133081870263252622
"ext:png dm:last5hours",1,133081869233128112
"ext:pbix dm:last6hours",1,133081868089347473
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last3weeks base",1,133080964512580740
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1;xlsx  dm:last24hours",1,133080958989667320
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1  path:examplemodule path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" path:""demo-runtime""  ext:psm1",3,133080958469435388
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:xlsx;ps1;md",3,133080852217260559
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" ext:xlsx;ps1;md;yml;psm1;psd1  path:examplemodule path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" path:""demo-runtime"" ",1,133080828335965930
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:xlsx;ps1;md;yml ext:yml",1,133080656302997747
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:xlsx",2,133080643708499172
"ext:ipynb me: dm:last20weeks path:xpath",2,133080643581923704
"ext:ipynb me: dm:last20weeks path:web",1,133080280375081405
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks ext:ps1 !dm:yesterday",9,133080280190254647
"docker-credential-desktop.exe",1,133080232621788581
"ext:png;jpg;svg;gif;mp4 path:waiaas  path:ww:""root_c\skydrive""  ",1,133079884549803903
"ext:png;jpg;svg;gif;mp4 path:waiaas  path:ww:""root_c\skydrive""   ",1,133079884179892498
"ext:png;jpg;svg;gif;mp4 path:waiaas path:",1,133079880240972654
"ext:png;jpg;svg;gif;mp4 path:waiaas",1,133079879852266868
"ext:png;jpg;svg;gif;mp4 path:waa",1,133079879473175641
"path:""C:\Users\cppmo_000\SkyDrive\Documents\2022\client_BDG"" dm:last3weeks",1,133079807805902877
