Search,Search Count,Last Search Date
"asana !downloads:",4,132718132904500821
"!downloads: !path:skydrive",1,132718132400472328
"asana",4,132718115640945105
"ext:pq;pbit;pbix !path:x: !github: ( web | bin | uniq | http ) !skydrive:",2,132718094967405172
"ext:pq;pbit;pbix !path:x: !github: ( web | bin | uniq | ) !skydrive:",1,132718061102438437
"ext:pq;pbit;pbix !path:x: !github: ( web | bin | uniq ) !skydrive:",1,132718061013816922
"ext:pq;pbit;pbix !path:x: !github: ( web | bin | uniq )",1,132718060057775437
"ext:pq;pbit;pbix !path:x: !github: ( web | bin | uniq",1,132718060011198871
"ext:pq;pbit;pbix !path:x: !github:",1,132718059415081185
"ext:pq;pbit;pbix web",1,132718052191267742
"ext:pq;pbit;pbix 2021-01-20 case insensitive excel import.pbix",1,132718051940042891
"ext:pq;pbit 2021-01-20 case insensitive excel import.pbix",1,132718051778890191
"ext:pq;pbit x:",1,132718051541776938
"ext:pq;pbit",1,132718051130162683
"ext:pbix def: ignore_programdata:",3,132718049675998760
"ext:pbix dm:last3days",7,132716242928021087
"ext:pbix def:",1,132715240954366681
"ext:ps1 (alert|alarm)",2,132714406748762873
"""%UserProfile%\Documents\2021\Powershell"" !ww:"".git"" ( ww:"".vscode"" ) ",1,132714406612136699
"ext:ps1",11,132714387318327813
"       (gran | canyon|)  ext:png;jpg;jpeg ",3,132714356198466698
"ext:pq;pbix dm:last3months me:",1,132713976014552946
"( ext:ps1 ( env | venv ) me: )    | ( ext:ps1 dm:last3days)",3,132713975821147707
"ext:ps1 ( env | venv ) me:",2,132713931285421158
"""c:\""  !appdata:  !programdata: ",1,132713890232925472
"""c:\""  !appdata:   path:ww:""c:\windows\""",1,132713889666359610
"""c:\""  !appdata:                               ",1,132713888542503545
"!path:ww:""c:\Program Files\Mozilla Firefox"" !appdata:   ",1,132713887882259748
"!appdata:   !path:ww:""C:\Program Files\Microsoft OneDrive"" locallow",1,132713815220858894
"!appdata:   !path:ww:""C:\Program Files\Microsoft OneDrive""",1,132713814797441377
"appdata:   !path:ww:""C:\Program Files\Microsoft OneDrive""",2,132713814616530084
"ext:ps1 dm:today !github:",2,132713814069041619
"onedr",1,132713812010878531
"ath:ww""%userProfile%\App",1,132713811290768071
"( path:ww:%appdata% | path:ww:%localappdata% )",1,132713810184250678
"dm:last3hours",3,132713644486038099
"""%UserProfile%\Documents\2021\Powershell\buffer\"" ",1,132713637181261567
"( file:one | path:onenote | onenote)",1,132712175490864377
"( me: ) ext:ps1;md ( path:readline | content:readline)",3,132711806810767768
"ext:ps1;md me: ext:ps1 dm:last301days",2,132711113277275692
"ext:ps1;md me: ext:ps1 dm:last300days",2,132710180943112815
"ext:ps1 measure-ch",1,132709359432243304
"c:\users\cppmo_000\.",1,132709354553881743
"path:ww"":C:\Users\cppmo_000""",1,132709354048605624
"ext:ps1;md me: path:wrap",3,132709353822758463
"chris web",1,132708498648996260
"battlefield 4 (!path:""Heroes of the Storm"")",3,132708475864289691
"ext:ps1 me:",2,132708454517403930
"battlefield 4 (!""heroes of the storm"")",1,132707893758476673
"battlefield 4",1,132707892835470206
"ext:ps1;md dm:last3hours",2,132707884911586883
"ext:ps1 dm:last1hours",1,132707749801273493
"path:""node_modules"" !""c:\$Recycle""",1,132707673434741446
"path:""node_modules""",1,132707673237528218
"""node_modules""",1,132707673115990592
"node_modules",1,132707673026208078
"dm:last3weeks !path:""j:\"" (( wizard of coast ) | mtga )",1,132707635180600861
"path:mtg dm:last3weeks !path:""j:\""",1,132707633663960849
"path:mtg dm:last3weeks",1,132707633232262440
"ripgreprc !path:x",1,132707625724478473
"ripgreprc",1,132707625436622428
"ext:ps1;md psreadline",6,132707567888798656
"ext:ps1 dm:last3hours",1,132706184775416188
"!x:\ ext:ps1;md ( psreadline | path:psreadline ) !path:eztheme",2,132706184708360976
"!x:\ ext:ps1;md ( psreadline | path:psreadline )",1,132706147907806389
"!x:\ ext:ps1;md psreadline",1,132706147638187363
"path:windowsterminal ext:json",1,132706129623480256
"windowsterminal",1,132706129430218059
"ext:ps1 profile ninse",2,132706038754558894
"ext:gif dm:today",2,132704862996118456
"ext:ps1 git !path:x",1,132704273940026649
"ext:ps1 git",2,132704267460905661
"!path:x ext:ps1 !github:",2,132704267306522116
"ext:ps1 !github:",1,132703464428283498
"ext:code-workspace ( path:2020 | path:2021 ) ext:pbix",1,132703462407591277
"ext:code-workspace ( path:2020 | path:2021 )",3,132703462346745484
"node_Modules dm:thisyear",1,132702493740019623
"node_Modules",1,132702492626780376
"ext:ps1 dm:last7days content:shouldpr",2,132702472974602093
"ext:ps1 git mer path:buf",1,132699892256747891
"ext:ps1 git mer",1,132699891414175096
"ext:ps1 merge",1,132699865419525834
"ext:pbix",48,132699864969807535
"folder:portal",2,132699147077771126
"folder:"".git"" path:corval",1,132698956017281678
"settings.json",3,132698955576080170
".egstore path:satis",2,132698806523793559
"ww:settings.json path: dm:last7days",3,132698244506965894
"ww:settings.json path:",1,132698202225181517
"ww:settings.json path: ",1,132698202070285591
"ww:settings.json ",1,132698201155761518
"profile.json",1,132698200379274999
"folder:ww:"".git"" folder: !path:""$Recycle.Bin""",2,132698199987999735
"ext:ps1 scope",1,132697998040297430
"ext:ps1 path",6,132697997965887900
"folder:ww:"".git"" folder:",1,132697992792331930
"file:wholeword:""/.git""",1,132697991092572663
"wholeword:.git folder: ",2,132697990501405393
"folder:"".git""",1,132697989860032872
"dm:today",5,132697973408409584
"ext:ps1;md;pq;pbix;xlsx;csv;json dm:last78hours me: dm:today",1,132695462931248483
"ext:ps1;md;pq;pbix;xlsx;csv;json dm:last78hours me:",1,132695450958326583
"ext:ps1;md;pq;pbix;xlsx;csv;json dm:last78hours",1,132695450667856533
"ext:ps1 me: fileNonAscii:",1,132695410801761634
"ext:pbix power query lib",2,132695409936998606
"vscode powerquery",1,132694797291028065
"ext:csv",6,132694797199374739
"ext:csv !downloads:",1,132693943466966409
"path:portal work",1,132693929302973671
"ext:png dm:today",2,132693928991130689
"folder: dm:today bug",1,132693253080412568
"ext:pbix;pq dm:today",3,132693248468165383
"ext:pbix dm:today",10,132693213805957651
"ext:ps1 dm:today",9,132693211040815544
"ext:ps1 dm:last72hours",1,132693202237958034
"path:spotify ext:json   !downloads:",2,132693197091698671
"path:spotify ext:json   !downloads: path:""%LocalAppData%\Packages\Spotify""",1,132693191876481313
"ext:pbix ",6,132693189904407028
"path:spotify ext:json  ",1,132693179729235444
"path:spotify ext:json",2,132693178408873066
"ext:pbix dm:last2minutes",3,132693178284790942
"g:\2021 path:dot",1,132692952136321441
"g:\2021 seemin",1,132692952053633767
"dm:last2minutes",1,132692808059908762
"path:ww:""%UserProfile%\Microsoft\Power BI Desktop Store\""",1,132692807746888322
"ext:pbix;ps1;pq;md dm:last48hours !github:",1,132692403274726860
"ext:pbix;ps1;pq;md dm:last48hours",2,132692402961713007
"path:power path:bi !github:",1,132692402847984319
"ext:pbix;ps1",2,132692391052103443
"ext:ps1 path:buffer",2,132692272070614573
"ancestry expor",2,132692232843471061
"ext:pbix;pq;ps1;md dm:today",2,132692152085555718
"path:ww:""C:\Users\cppmo_000\Microsoft\Power BI Desktop Store App"" content:""11eaa305-36a2-4638-8f51-854ccb1d0dd5""",1,132692082410280924
"ext:ps1;md dm:today",1,132692081645223523
"ext:xlsx data",2,132691418457718123
"C:\Users\cppmo_000\Documents\2019\ ext:py;sh;md !path:venv !path:env !path:.git content:pprint",2,132691162307180575
"ext:png waia",1,132691162162357311
"ext:csv path:dmv",1,132691158432456279
"ext:log",4,132691096351877573
"%userprofile%\Documents      ext:pbix",1,132690645873085746
"ext:ps1    dm:thisweek  ",2,132690640165729669
"ext:log dm:last3minutes",1,132690638596791769
"ext:ps1    dm:thisweek",1,132690637217232480
"ext:pbix;pq    web",2,132690634835214738
"ext:ps1 appx",1,132690601183045939
"ext:pbix button",1,132690584418466978
"ext:md;ps1",2,132689722776588945
"ext:pbix date",2,132689407093995383
"ext:png;ps1 dm:today",3,132688749213744013
"ext:pbix;pq (( web | req | http | text ) | )",2,132687712892765964
"ext:pbix;pq ( web | req | http | )",1,132687712702851421
"( cheat) ext:pq;pbix",1,132687706678364171
"(power | ext:pbix | |measure) svg ext:pbix;pq;md",2,132687706362293468
"(power | ext:pbix | |measure) svg",1,132687612760614635
"purchase log",2,132687593974682771
"ext:pbix inspect",2,132687181981226288
"path:ww:G:\2020-github-downloads dfink",2,132686061199486615
"path:ww:G:\2020-github-downloads ext:json;md;pbix;png;pq;ps1",3,132685895792817710
"ext:json;md;pbix;png;pq;ps1 -path .",1,132685893861243672
"path:ww:C:\Users\cppmo_000\Documents\2020\powershell\MyModules_Github\Dev.Nin\public dm:today ext:json;md;pbix;png;pq;ps1",1,132685893006295023
"dm:today ext:json;md;pbix;png;pq;ps1 -path ~",1,132685891017886960
"dm:today ext:json;md;pbix;png;pq;ps1",2,132685890882937762
"ext:ps1 property",3,132685278063536071
"%userprofile%\.vscode grammar",1,132685263661240506
"ext:ps1 dm:last13days content:commandtype",2,132685207776549874
"ext:ps1 dm:last3days content:commandtype",4,132684386344453571
"ext:ps1 property (set|list) c:\",1,132684369233571893
"ext:ps1 smart alias",1,132683655076514448
